loan_id,customer_id,product_code,sanction_amount,interest_rate,tenure_months,sourcing_channel,target_default,max_dpd_ever,max_overdue_amount,total_overdue_amount,total_bounces,total_mob,max_mob,bounce_rate,max_dpd_12m_mob,max_dpd_6m_mob,last_delinq_mob,ever_npa_flag,months_since_last_delinquency,chronic_delinquent,recent_stress_flag,bureau_agency,bureau_score,score_version,total_tradelines,secured_tradelines,unsecured_tradelines,credit_card_tradelines,total_outstanding,total_sanctioned_limit,credit_utilisation_pct,recent_enquiries_3m,recent_enquiries_6m,max_dpd_12m,max_dpd_24m,number_of_defaults,oldest_account_vintage_months,written_off_accounts,suit_filed_flag,wilful_default_flag,bureau_pull_date,load_date_x,ever_dpd90_12m,ever_dpd90_24m,has_writeoff,high_enquiry_flag,long_vintage_flag,unsecured_mix_ratio,enquiry_per_tradeline,bureau_score_band_num,avg_monthly_credit,avg_monthly_debit,avg_eod_balance,min_balance,max_balance,emi_bounce_count,salary_credit_count,salary_flag,inward_cheque_bounce_count,outward_cheque_bounce_count,avg_monthly_emi_outflow,cash_withdrawal_pct,upi_txn_count_monthly,international_txn_flag,gaming_txn_flag,casino_txn_flag,credit_card_payment_flag,statement_start_date,statement_end_date,bank_name,account_type,load_date_y,net_cashflow_ratio,emi_to_income_ratio,balance_to_income_ratio,high_stress_flag,high_cash_flag,application_id,declared_income,employment_type,company_name,company_category,work_experience_years,years_at_current_employer,loan_purpose,requested_amount,requested_tenure,foir,existing_monthly_obligations,co_applicant_flag,co_applicant_income,ltv_ratio,property_value,application_date,application_status,credit_decisioning_model,load_date,income_deviation_pct,mismatch_flag,verified_income,itr_assessed_income,verification_status,employment_risk_rank,high_foir_flag,high_ltv_flag,low_experience,declared_to_verified_ratio,itr_to_declared_ratio,effective_income,loan_to_income_ratio
1000001,2000001,HL,4775392.47,11.34,12,Referral,1,92,1691259.32,37630519.87,17,36,36,0.4722222222222222,61,31,35,0.0,1,1,1,Equifax,641.0,CIBIL V2.0,14,0,4,1,5375087.98,4156443.3,96.12,4,6,0,180,0,57,0,0,0,2024-08-17,2024-12-31,0,1,0,1,0,0.2857142857142857,0.42857142857142855,2.0,621817.95,299571.25,1074307.07,110299.07,4301003.21,0,1,1,5,2,51580.0,34.06,137,0,0,0,False,2024-01-01,2024-12-31,Punjab National,Savings,2024-12-31,0.5182331902769934,0.08295032332212347,1.7276874525735388,1,0,3000001,5960334.01,Business - Partnership,Gopal-Vyas,CAT-C SME,4,2,Medical Emergency,9518916.88,48,0.5863,291211.99,0,0.0,0.7975,18198309.57,2023-11-13,Withdrawn,Rule Engine v3,2024-12-31,6.71,0,6360194.42,5513753.44,Verified - Positive,3.0,0,0,0,0.9371307882126031,0.9250745731278238,5960334.01,1.5970442032324965
1000002,2000002,HL,37964487.62,10.13,120,DST,0,33,1008880.96,15133214.399999999,11,36,36,0.3055555555555556,32,31,31,0.0,5,1,1,Equifax,885.0,CIBIL V3.0,9,4,4,0,10465368.89,25872131.35,74.12,7,2,0,180,0,12,0,0,0,2024-02-07,2024-12-31,0,1,0,1,0,0.4444444444444444,0.2222222222222222,5.0,1242361.21,727693.81,985719.89,95779.47,5608053.69,2,1,1,0,1,384166.81,29.53,52,0,0,0,False,2024-01-01,2024-12-31,Federal Bank,Salary,2024-12-31,0.41426550978680343,0.3092231203838053,0.7934245548442389,1,0,3000002,11145999.29,Business - Partnership,"Oak, Narasimhan and Swaminathan",CAT-A Listed,12,10,Working Capital,12542667.28,12,0.2703,251063.63,0,267609.32,0.7815,14163526.65,2024-10-18,Disbursed,Rule Engine v3,2024-12-31,9.96,0,12255687.84,11116670.6,Verified - Positive,3.0,0,0,0,0.909455220752424,0.9973686800764188,11145999.29,1.1253066641815657
1000005,2000005,PL,18572030.26,10.96,60,Referral,1,120,2017152.8,35501889.28,23,36,36,0.6388888888888888,120,91,36,0.0,0,1,1,Equifax,894.0,Experian v4,13,6,3,1,4945523.52,3263284.34,91.91,7,9,2,0,0,113,1,0,0,2024-08-27,2024-12-31,0,0,1,1,1,0.23076923076923078,0.6923076923076923,5.0,229649.25,191421.86,406873.99,4842.29,700467.25,1,1,0,0,0,19979.33,15.32,179,0,0,0,False,2024-01-01,2024-12-31,Yes Bank,OD Account,2024-12-31,0.16645989481785817,0.08699932614628614,1.7717192196360319,0,0,3000005,2177537.46,Self Employed Non-Professional,Deol-Kibe,CAT-B MNC,22,13,Education,13068432.88,48,0.6419,116480.11,0,132745.24,0.5242,22567192.39,2024-02-12,Disbursed,ML Scorecard v2,2024-12-31,5.45,0,2296214.7,2023495.65,Verified - Positive,4.0,1,0,0,0.9483161396014056,0.9292587095149215,2177537.46,6.001473278902858
1000006,2000006,TL,49477215.2,18.06,240,DSA,0,152,4595237.7,67396819.6,19,36,36,0.5277777777777778,31,31,36,0.0,0,1,1,CIBIL TransUnion,374.0,Experian v4,15,3,3,3,1229164.7,3749877.17,63.38,6,3,1,10,0,207,0,0,0,2024-05-12,2024-12-31,0,0,0,1,1,0.2,0.2,1.0,731333.64,382931.89,1506709.9,176573.41,5795428.62,0,2,1,5,0,318105.74,26.7,136,0,0,0,False,2024-01-01,2024-12-31,Yes Bank,Savings,2024-12-31,0.4763923480943663,0.43496664531936474,2.060222335731746,1,0,3000006,7837125.07,Business - Partnership,"Pradhan, Borah and Johal",CAT-C SME,27,3,Home Construction,17047518.13,48,0.5863,382908.87,1,0.0,0.6135,27686636.01,2024-11-27,Disbursed,Manual,2024-12-31,23.66,1,9691432.35,6144789.93,Verified - Positive,3.0,0,0,0,0.8086653021934369,0.7840617414058954,7837125.07,2.175225988833173
1000007,2000007,VL,13460269.71,10.98,84,Aggregator,0,153,1381986.54,26257744.26,21,36,36,0.5833333333333334,64,61,36,0.0,0,1,1,CRIF Highmark,713.0,Experian v4,7,2,6,5,13981767.68,1714490.91,31.2,5,2,0,0,0,107,0,0,0,2024-05-20,2024-12-31,0,0,0,1,1,0.8571428571428571,0.2857142857142857,4.0,1265155.55,1146082.3,2608686.18,156983.72,11530110.69,0,1,1,4,2,174591.71,37.62,101,0,0,0,False,2024-01-01,2024-12-31,Axis Bank,Current,2024-12-31,0.09411747828162316,0.138000192940702,2.0619489674609577,1,0,3000007,13847464.56,Business - Partnership,Balan Ltd,Government PSU,28,7,Consumer Durables,8396908.51,120,0.6016,694219.56,0,0.0,0.6059,9570907.61,2023-12-02,Pending Docs,ML Scorecard v2,2024-12-31,18.6,1,16423173.74,14176455.97,Verified with Discrepancy,3.0,1,0,0,0.843166173555928,1.0237582417037072,13847464.56,0.6063859902740202
1000009,2000009,LAP,7726781.84,10.14,120,Aggregator,0,147,513549.8,7497827.08,20,36,36,0.5555555555555556,32,2,36,0.0,0,1,0,Equifax,624.0,Experian v4,14,2,5,2,19359691.53,6963260.78,25.34,8,6,1,0,0,7,0,0,0,2024-08-14,2024-12-31,0,0,0,1,0,0.35714285714285715,0.42857142857142855,2.0,1132716.83,899222.62,1380148.86,215575.6,8601877.23,0,1,1,4,0,221749.53,5.36,54,0,0,0,False,2024-01-01,2024-12-31,Federal Bank,Savings,2024-12-31,0.20613643570564769,0.19576784252424323,1.2184412056453686,1,0,3000009,10339190.1,Business - Pvt Ltd,Sarma LLC,CAT-C SME,15,2,Marriage,19247297.49,240,0.4223,363853.33,0,0.0,0.8067,29350094.94,2022-06-10,Withdrawn,Rule Engine v3,2024-12-31,9.01,0,11270769.26,8575125.1,Unverified,4.0,0,0,0,0.9173455565889209,0.82938073650469,10339190.1,1.861586575335335
1000013,2000013,CL,47352777.32,8.91,180,Digital - Web,1,121,2388757.4,54941420.199999996,18,36,36,0.5,62,60,36,0.0,0,1,1,Experian,722.0,CIBIL V3.0,5,6,0,5,7539428.0,6845109.88,51.37,8,0,0,0,0,204,0,0,0,2024-05-07,2024-12-31,0,0,0,1,1,0.0,0.0,4.0,914154.55,913839.25,2362996.2,296562.93,6360916.76,0,2,1,3,1,210162.48,4.76,50,0,0,0,False,2024-01-01,2024-12-31,Yes Bank,Savings,2024-12-31,0.00034490885594787724,0.22989819391042796,2.5848979256297526,1,0,3000013,12179713.41,Business - Pvt Ltd,Sarin PLC,CAT-D Unrated,17,15,Business Expansion,9756172.53,120,0.5857,594471.51,0,263932.84,0.6657,19195874.19,2020-04-08,Disbursed,Rule Engine v3,2024-12-31,-27.29,1,8855565.03,9759778.53,Verified - Positive,4.0,0,0,0,1.3753739449418285,0.8013143003830333,12179713.41,0.8010182343034292
1000014,2000014,TL,26430921.99,17.51,48,Branch Walk-in,1,117,3078628.68,42331144.35,15,36,36,0.4166666666666667,89,30,33,0.0,3,1,1,CRIF Highmark,740.0,CIBIL V2.0,1,7,4,4,15350283.2,6477083.43,76.85,0,6,0,1,0,58,1,0,0,2024-02-07,2024-12-31,0,0,1,0,0,4.0,6.0,4.0,942220.22,721254.67,1743238.76,38903.3,1644897.73,0,1,1,2,0,143202.77,13.38,3,0,1,0,False,2024-01-01,2024-12-31,Punjab National,Savings,2024-12-31,0.23451582263857587,0.15198439490080143,1.8501394079613362,0,0,3000014,8299461.19,Salaried,Bhargava and Sons,CAT-D Unrated,31,14,Home Construction,17902260.19,36,0.4002,276787.03,0,0.0,0.8128,34434903.17,2023-12-25,Disbursed,Rule Engine v3,2024-12-31,-1.74,0,8154678.1,8168642.72,Verified with Discrepancy,4.0,0,0,0,1.0177546051756476,0.984237715316071,8299461.19,2.1570388462772003
1000015,2000015,EL,44990742.82,14.95,48,Referral,1,117,5003944.12,82565077.98,19,36,36,0.5277777777777778,60,30,35,0.0,1,1,1,CRIF Highmark,469.0,Experian v4,8,6,1,0,4872197.54,1865168.78,16.32,0,1,0,5,0,87,0,0,0,2024-12-22,2024-12-31,0,0,0,0,1,0.125,0.125,1.0,293393.9,322005.48,409752.86,30087.72,1437220.0,1,1,1,4,3,127083.91,23.28,39,0,1,0,True,2024-01-01,2024-12-31,HDFC Bank,Savings,2024-12-31,-0.09751934174500546,0.4331511664012101,1.3965963845874094,1,0,3000015,3554405.1,Contract,Majumdar LLC,CAT-D Unrated,3,15,Balance Transfer,7687768.1,240,0.6042,178964.3,0,0.0,0.577,12513755.52,2022-09-27,Disbursed,ML Scorecard v2,2024-12-31,-27.62,1,2572746.63,3103371.67,Verified - Positive,4.0,1,0,0,1.3815604920255984,0.8731057892078761,3554405.1,2.1628846132366846
1000016,2000016,LAP,35421263.23,8.47,24,Referral,1,91,6438445.44,112672795.2,19,36,36,0.5277777777777778,91,30,35,0.0,1,1,1,Experian,604.0,Experian v4,11,6,7,2,188816.29,177681.91,61.79,0,4,0,2,2,23,0,0,0,2024-04-24,2024-12-31,0,0,0,0,0,0.6363636363636364,0.36363636363636365,2.0,284075.0,171309.77,519209.11,6696.22,2699135.92,0,1,1,2,0,60837.51,26.35,70,0,0,0,False,2024-01-01,2024-12-31,ICICI Bank,Salary,2024-12-31,0.3969558391269912,0.21416002816157706,1.8277184194314882,0,0,3000016,4004600.39,Business - Partnership,Mand LLC,CAT-B MNC,10,14,Consumer Durables,5984950.66,240,0.5678,189484.34,0,441124.51,0.6005,10118680.18,2021-03-20,Disbursed,Rule Engine v3,2024-12-31,-24.91,1,3007245.29,3941033.18,Verified - Positive,3.0,0,0,0,1.3316507314240402,0.9841264536260009,4004600.39,1.4945188226383805
