customer_id,bureau_agency,refresh_cycle,bureau_score,score_delta_vs_previous,total_tradelines,secured_tradelines,unsecured_tradelines,total_outstanding,recent_enquiries_3m,max_dpd_12m,number_of_defaults,credit_utilisation_pct,new_accounts_opened_3m,bureau_pull_date,load_date
2000000,Equifax,H1-2023,788,,4,6,5,13679616.41,5,0,0,34.08,4,2023-07-01,2024-12-31
2000000,Experian,H2-2023,767,-16.0,9,2,5,2149137.77,1,60,0,81.41,0,2024-03-02,2024-12-31
2000000,Experian,H1-2024,812,29.0,2,2,2,18208415.74,5,0,0,8.57,2,2024-09-21,2024-12-31
2000000,CRIF Highmark,H2-2024,747,-36.0,12,0,6,9298774.76,5,0,0,36.52,4,2024-01-29,2024-12-31
2000001,CIBIL TransUnion,H1-2023,624,,14,7,0,296946.54,7,60,0,19.42,1,2024-09-18,2024-12-31
2000001,CIBIL TransUnion,H2-2023,675,34.0,2,1,1,15556687.94,2,90,1,60.58,2,2023-03-04,2024-12-31
2000001,Experian,H1-2024,648,7.0,8,3,4,15220318.79,8,0,0,54.88,4,2024-08-20,2024-12-31
2000001,CIBIL TransUnion,H2-2024,623,-18.0,9,5,2,5363119.95,5,30,1,1.44,1,2024-10-03,2024-12-31
2000002,CRIF Highmark,H1-2023,857,,13,3,0,9680960.92,3,0,0,58.73,2,2024-04-10,2024-12-31
2000002,Equifax,H2-2023,900,40.0,2,2,2,14401719.57,5,30,0,64.23,4,2023-11-14,2024-12-31
2000002,Experian,H1-2024,900,26.0,15,8,2,13439482.34,1,30,0,85.91,0,2024-11-06,2024-12-31
2000002,CIBIL TransUnion,H2-2024,900,17.0,14,0,1,19560808.05,5,0,0,9.86,0,2024-10-08,2024-12-31
2000003,Equifax,H1-2023,621,,12,7,6,12873000.54,4,1,0,14.61,4,2023-07-20,2024-12-31
2000003,CIBIL TransUnion,H2-2023,585,-16.0,11,7,4,3249176.87,3,0,0,8.91,0,2023-11-15,2024-12-31
2000003,CIBIL TransUnion,H1-2024,634,33.0,7,4,4,741339.68,3,60,0,90.24,1,2024-03-18,2024-12-31
2000003,CIBIL TransUnion,H2-2024,616,15.0,12,5,2,14696461.64,2,0,0,24.56,1,2024-01-11,2024-12-31
2000004,CRIF Highmark,H1-2023,882,,2,6,1,9069608.58,5,0,0,8.97,1,2023-02-02,2024-12-31
2000004,CIBIL TransUnion,H2-2023,899,25.0,6,1,1,12971225.27,0,0,0,74.28,4,2024-10-06,2024-12-31
2000004,CIBIL TransUnion,H1-2024,900,35.0,2,4,4,15794128.66,4,30,0,95.87,2,2024-08-12,2024-12-31
2000004,CIBIL TransUnion,H2-2024,868,-6.0,6,6,1,3865205.18,5,60,1,37.68,4,2023-01-17,2024-12-31
