txn_id,loan_id,txn_date,txn_amount,txn_type,payment_mode,instrument_no,bounce_flag,bounce_reason,penal_interest_levied,utr_number,load_date
5000000,1000203,2024-07-23,859737.01,Overdue Recovery,UPI,,True,Signature Mismatch,17912.97,UTR93694356772,2024-12-31
5000001,1000203,2024-08-22,912952.55,EMI - Regular,NEFT,,False,,0.0,UTR31269383465,2024-12-31
5000002,1000203,2024-09-21,893807.16,EMI - Regular,UPI,,False,,0.0,UTR68365828118,2024-12-31
5000003,1000203,2024-10-21,891309.33,EMI - Regular,NACH,,False,,0.0,UTR10567712646,2024-12-31
5000004,1000203,2024-11-20,874508.8,Penal Charge Recovery,NACH,,False,,0.0,UTR47313600717,2024-12-31
5000005,1000203,2024-12-20,933782.21,Overdue Recovery,Cheque - PDC,,False,,0.0,UTR72655006578,2024-12-31
5000006,1000388,2024-06-11,1325244.97,EMI - Regular,UPI,,False,,0.0,UTR46450976758,2024-12-31
5000007,1000388,2024-07-11,1407686.24,Pre-Closure,Cheque - PDC,CHQ509833,False,,0.0,UTR78754506198,2024-12-31
5000008,1000388,2024-08-10,1324754.68,Pre-Closure,NACH,,False,,0.0,UTR83539297399,2024-12-31
5000009,1000388,2024-09-09,1298377.26,EMI - Regular,Cash,CHQ399161,False,,0.0,UTR16914488377,2024-12-31
5000010,1000388,2024-10-09,1328629.72,EMI - Regular,RTGS,,False,,0.0,UTR16262240686,2024-12-31
5000011,1000388,2024-11-08,1330301.64,EMI - Regular,Cash,,False,,0.0,UTR85077844249,2024-12-31
5000012,1000388,2024-12-08,1338653.07,EMI - Regular,UPI,,True,Technical Reject - Bank,27224.87,UTR83714993840,2024-12-31
5000013,1000055,2019-03-24,1189441.64,EMI - Regular,NACH,,True,NACH Mandate Rejected,24230.79,UTR92659600983,2024-12-31
5000014,1000055,2019-04-23,1247624.75,EMI - Regular,NEFT,,False,,0.0,UTR33820482631,2024-12-31
5000015,1000055,2019-05-23,1154717.08,Overdue Recovery,RTGS,,False,,0.0,UTR94174186658,2024-12-31
5000016,1000055,2019-06-22,1153216.29,EMI - Regular,Cash,,False,,0.0,UTR84612508389,2024-12-31
5000017,1000055,2019-07-22,1258867.77,EMI - Regular,UPI,,False,,0.0,UTR23011186692,2024-12-31
5000018,1000055,2019-08-21,1226572.78,EMI - Regular,Standing Instruction - SI,,False,,0.0,UTR98479033643,2024-12-31
5000019,1000055,2019-09-20,1268289.06,EMI - Regular,UPI,,False,,0.0,UTR78686874261,2024-12-31
5000020,1000055,2019-10-20,1232923.53,EMI - Regular,UPI,,False,,0.0,UTR19641462343,2024-12-31
5000021,1000055,2019-11-19,1209405.61,Pre-Closure,Cheque - PDC,,False,,0.0,UTR66613235775,2024-12-31
5000022,1000055,2019-12-19,1243673.7,EMI - Regular,Cheque - PDC,,False,,0.0,UTR61840262623,2024-12-31
5000023,1000055,2020-01-18,1243718.37,Overdue Recovery,UPI,,False,,0.0,UTR86412280657,2024-12-31
5000024,1000055,2020-02-17,1174936.76,EMI - Regular,Cash,,True,Signature Mismatch,24230.79,UTR49212302773,2024-12-31
5000025,1000055,2020-03-18,1202014.19,EMI - Regular,NACH,CHQ365147,False,,0.0,UTR63267902581,2024-12-31
5000026,1000055,2020-04-17,1219659.37,EMI - Regular,UPI,,False,,0.0,UTR56290006873,2024-12-31
